MODULE,SOURCE_FILE,SQL_OPERATION,TABLE
HR,emp_s2.pbd,SELECT,training_institut
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_emplo䅄
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,emp_vacation_balances
HR,emp_s2.pbd,SELECT,emp_vacation_balances
HR,emp_s2.pbd,SELECT,hr
HR,emp_s2.pbd,SELECT,emp_days_off
HR,emp_s2.pbd,SELECT,hr
HR,emp_s2.pbd,SELECT,hr
HR,emp_s2.pbd,SELECT,emp_vacations
HR,emp_s2.pbd,SELECT,hr
HR,emp_s2.pbd,SELECT,emp_days_off
HR,emp_s2.pbd,SELECT,hr
HR,emp_s2.pbd,SELECT,hr
HR,emp_s2.pbd,SELECT,emp_vacations
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s䅄
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_䅄
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_e䅄
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dbs_s_employe
HR,emp_s2.pbd,SELECT,dba
HR,emp_s2.pbd,SELECT,dba
HR,emp_s3.pbd,SELECT,hr
HR,emp_s3.pbd,DELETE,fail
HR,emp_s3.pbd,DELETE,dba
HR,emp_s3.pbd,SELECT,hr
HR,emp_s3.pbd,SELECT,pay_t_emp_ins
HR,emp_s3.pbd,SELECT,pay_t_emp_ins
HR,emp_s3.pbd,SELECT,holidays_dates
HR,emp_s3.pbd,SELECT,weekly_daysoff
HR,emp_s3.pbd,DELETE,weekly_daysoff
HR,emp_s3.pbd,DELETE,dbs_s_employe
HR,emp_s3.pbd,SELECT,appraisal_items
HR,emp_s3.pbd,SELECT,course_type
HR,emp_s3.pbd,SELECT,hr
HR,emp_s3.pbd,SELECT,hr
HR,emp_s3.pbd,SELECT,hr
HR,emp_s3.pbd,SELECT,hr
HR,emp_s3.pbd,SELECT,course_type
HR,emp_s3.pbd,SELECT,holidays_dates
HR,emp_s3.pbd,SELECT,weekly_daysoff
HR,emp_s3.pbd,SELECT,dbs_s_employe
HR,emp_s3.pbd,SELECT,emp_days_off
HR,emp_s4.pbd,SELECT,dbs_s_employe
HR,emp_s4.pbd,SELECT,䅄
HR,emp_s4.pbd,SELECT,dba
HR,emp_s4.pbd,SELECT,dbs_s_section_managers
HR,emp_s4.pbd,SELECT,dbs_s_section_managers
HR,emp_s4.pbd,SELECT,dba
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,UPDATE,pay_t_emp_in
HR,emp_t1.pbd,UPDATE,attendance
HR,emp_t1.pbd,SELECT,emp_days_off
HR,emp_t1.pbd,SELECT,emp_collective_vacation
HR,emp_t1.pbd,SELECT,attendance
HR,emp_t1.pbd,SELECT,emp_days_off
HR,emp_t1.pbd,SELECT,hr䅄
HR,emp_t1.pbd,SELECT,attendance
HR,emp_t1.pbd,SELECT,emp_collective_vacation
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,DELETE,dbs_s_employe
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,SELECT,emp_vacation_balances
HR,emp_t1.pbd,DELETE,emp_vacation_balances
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,UPDATE,sc_buy_order_header
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,UPDATE,hr_global_parms
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,UPDATE,hr_global_parms
HR,emp_t1.pbd,SELECT,hr_global_parms
HR,emp_t1.pbd,UPDATE,Date
HR,emp_t1.pbd,SELECT,Years
HR,emp_t1.pbd,SELECT,emp_vacations
HR,emp_t1.pbd,SELECT,emp_vacations
HR,emp_t1.pbd,SELECT,emp_vacations
HR,emp_t1.pbd,SELECT,vacation_due
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,DELETE,emp_loan
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,dbs_s_job
HR,emp_t1.pbd,SELECT,dbs_s_job
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,䅄
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr_permissions
HR,emp_t1.pbd,SELECT,Time
HR,emp_t1.pbd,SELECT,HR
HR,emp_t1.pbd,SELECT,HR
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,SELECT,dbs_s_employe
HR,emp_t1.pbd,UPDATE,Date
HR,emp_t1.pbd,SELECT,HR
HR,emp_t1.pbd,SELECT,HR
HR,emp_t1.pbd,SELECT,HR
HR,emp_t1.pbd,SELECT,HR
HR,emp_t1.pbd,SELECT,business_trip
HR,emp_t1.pbd,DELETE,Time
HR,emp_t1.pbd,INSERT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,hr
HR,emp_t1.pbd,SELECT,HR
HR,emp_t1.pbd,SELECT,HR
HR,emp_t1.pbd,SELECT,HR
HR,emp_t1.pbd,SELECT,HR
HR,emp_t1.pbd,SELECT,emp_days_off
HR,emp_t1.pbd,SELECT,business_trip
HR,emp_t1.pbd,DELETE,Time
HR,emp_t1.pbd,INSERT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,DELETE,Date
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,emp_vacation_balances
HR,emp_temp.pbd,SELECT,emp_vacation_balances
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,emp_collective_vacation
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,emp_collective_vacation
HR,emp_temp.pbd,SELECT,about
HR,emp_temp.pbd,SELECT,about
HR,emp_temp.pbd,SELECT,hr_shifts
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,䅄
HR,emp_temp.pbd,SELECT,emp_vacation_balances
HR,emp_temp.pbd,SELECT,holidays_dates
HR,emp_temp.pbd,SELECT,weekly_daysoff
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,shift_exception
HR,emp_temp.pbd,DELETE,date
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,emp_collective_vacation
HR,emp_temp.pbd,DELETE,Attachments
HR,emp_temp.pbd,DELETE,emp_increase_income
HR,emp_temp.pbd,SELECT,hr_global_pa䅄
HR,emp_temp.pbd,SELECT,hr_global_parms
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,emp_days_off
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendan䅄
HR,emp_temp.pbd,SELECT,hr_global_parms
HR,emp_temp.pbd,SELECT,䅄
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,emp_move
HR,emp_temp.pbd,SELECT,emp_move
HR,emp_temp.pbd,SELECT,Date
HR,emp_temp.pbd,SELECT,emp_move
HR,emp_temp.pbd,SELECT,hr_global_parms
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,emp_days_off
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,hr_global_parms
HR,emp_temp.pbd,SELECT,hr_global_parms
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,Date
HR,emp_temp.pbd,SELECT,weekly_daysoff
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,hr_emp_shift
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,hr_emp_shift
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,holidays
HR,emp_temp.pbd,SELECT,holidays_dates
HR,emp_temp.pbd,SELECT,holidays_dates
HR,emp_temp.pbd,SELECT,weekly_daysoff
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,DBA
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,DELETE,Date
HR,emp_temp.pbd,DELETE,business_trip
HR,emp_temp.pbd,DELETE,emp_days_off
HR,emp_temp.pbd,SELECT,emp_days_off
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,emp_collective_vacation
HR,emp_temp.pbd,SELECT,d䅄
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,DELETE,emp_days_off
HR,emp_temp.pbd,SELECT,emp_days_off
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,emp_collective_vacation
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,DELETE,emp_days_off
HR,emp_temp.pbd,SELECT,emp_days_off
HR,emp_temp.pbd,SELECT,emp_vac䅄
HR,emp_temp.pbd,SELECT,emp_䅄
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,DBA
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,weekly_daysoff
HR,emp_temp.pbd,SELECT,weekly_daysoff
HR,emp_temp.pbd,SELECT,Date
HR,emp_temp.pbd,SELECT,Date
HR,emp_temp.pbd,SELECT,emp_loan
HR,emp_temp.pbd,SELECT,emp_loan
HR,emp_temp.pbd,SELECT,emp_loan
HR,emp_temp.pbd,SELECT,emp_loan
HR,emp_temp.pbd,SELECT,Date
HR,emp_temp.pbd,SELECT,emp_loan
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,emp_va䅄
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,emp_vacation_balances
HR,emp_temp.pbd,SELECT,emp_vacation_balances
HR,emp_temp.pbd,SELECT,emp_collective_vacation
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,emp_vacation_balances
HR,emp_temp.pbd,SELECT,emp_vacation_balances
HR,emp_temp.pbd,SELECT,emp_collec䅄
HR,emp_temp.pbd,SELECT,pay_t_emp_in
HR,emp_temp.pbd,SELECT,pay_t_emp_in
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,HR
HR,emp_temp.pbd,SELECT,emp_䅄
HR,emp_temp.pbd,SELECT,emp_vacations
HR,emp_temp.pbd,SELECT,emp_vacation_balances
HR,emp_temp.pbd,SELECT,emp_vacation_balances
HR,emp_temp.pbd,SELECT,emp_collective_vacation
HR,emp_temp.pbd,SELECT,pay_t_emp_in
HR,emp_temp.pbd,SELECT,pay_t_emp_in
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,holidays_dates
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,holidays_dates
HR,emp_temp.pbd,SELECT,weekly_daysoff
HR,emp_temp.pbd,SELECT,daysoff
HR,emp_temp.pbd,SELECT,hr_permissions
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,emp_days_off
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,holidays_dates
HR,emp_temp.pbd,SELECT,䅄
HR,emp_temp.pbd,SELECT,daysoff
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,holidays_dates
HR,emp_temp.pbd,SELECT,weekly_䅄
HR,emp_temp.pbd,SELECT,daysoff
HR,emp_temp.pbd,SELECT,hr_permissions
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,emp_days_off
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,holidays_dates
HR,emp_temp.pbd,SELECT,weekly_daysoff
HR,emp_temp.pbd,SELECT,daysoff
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,hr_permissions
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,emp_days_off
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,holidays_dates
HR,emp_temp.pbd,SELECT,weekly_daysoff
HR,emp_temp.pbd,SELECT,daysoff
HR,emp_temp.pbd,SELECT,hr_permissions
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,emp_days_off
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,holidays_dates
HR,emp_temp.pbd,SELECT,weekly_daysoff
HR,emp_temp.pbd,SELECT,daysoff
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,attendance
HR,emp_temp.pbd,SELECT,pay_t_emp_in
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,dba
HR,emp_temp.pbd,SELECT,hr
HR,emp_temp.pbd,SELECT,emp_pay_change
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,dbs_s_employe
HR,emp_temp.pbd,SELECT,emp_increase_income
HR,emp_temp.pbd,SELECT,emp_experiences
HR,emp_temp.pbd,SELECT,emp_experiences
HR,emp_temp.pbd,SELECT,hire_papers
HR,emp_temp.pbd,SELECT,hire_papers
HR,emp_temp.pbd,SELECT,hire_papers
HR,emp_temp.pbd,SELECT,hire_papers
HR,emp_temp.pbd,SELECT,hire_papers
HR,emp_temp.pbd,SELECT,hire_papers
HR,emp_temp.pbd,SELECT,hire_papers
HR,emp_temp.pbd,SELECT,hire_papers
HR,emp_temp.pbd,SELECT,hire_papers
HR,emp_temp.pbd,SELECT,hire_papers
